# Imported from MATPOWER Case Format
mpc.version
2
mpc.version.end

# System MVA base
mpc.baseMVA
100
mpc.baseMVA.end

# Bus data: bus_i	type	Pd	Qd	Gs	Bs	area	Vm	Va	baseKV	zone	Vmax	Vmin
mpc.bus
         3         1     151.000000      48.800000       0.000000       4.690000         0       1.016674     -21.690087     220.000000         5       1.100000       0.900000
         4         1     171.410000      23.400000       0.000000       2.100000         0       1.026650      -6.963557     220.000000         5       1.100000       0.900000
        10         1     134.000000      24.700000       0.000000      12.440000         0       1.038516     -24.153682     220.000000         5       1.100000       0.900000
        21         1     161.200000      39.300000       0.000000      30.710000         0       1.036177     -21.830710     220.000000         5       1.100000       0.900000
        22         1       0.000000      -0.000000       0.000000       0.850000         0       1.035072     -18.386890     220.000000         5       1.100000       0.900000
        26         1     167.300000      54.800000       0.000000     110.540000         0       1.032283      -3.282009     380.000000         5       1.100000       0.900000
        29         1     152.900000      49.400000       0.000000      27.650000         0       0.994408     -13.676787     380.000000         5       1.100000       0.900000
        44         1      -0.000000       0.000000       0.000000       7.270000         0       1.045811     -22.052645     220.000000         5       1.100000       0.900000
        53         1      48.650000      16.100000       0.000000       7.140000         0       1.063436      -9.118271     220.000000         5       1.100000       0.900000
        58         1       0.000000       0.000000       0.000000       2.310000         0       0.986243     -15.608802     380.000000         5       1.100000       0.900000
        59         1     119.200000      20.700000       0.000000       3.310000         0       1.036816     -23.591090     220.000000         5       1.100000       0.900000
        90         1     363.250000     115.390000       0.000000       3.950000         0       1.042187     -27.467861     220.000000         5       1.100000       0.900000
        96         1      -8.400000      28.660000       0.000000       3.490000         0       1.030440     -15.568458     220.000000         5       1.100000       0.900000
       113         1      -0.000000      -0.000000       0.000000       6.532711         0       1.030720     -14.146230     380.000000         5       1.100000       0.900000
       115         1       0.000000      -0.000000       0.000000       4.210000         0       1.066815     -19.609059     220.000000         5       1.100000       0.900000
       118         1     704.530000     -35.330000       0.000000      13.102834         0       1.020264     -11.357573     380.000000         5       1.100000       0.900000
       124         2       0.000000       0.000000       0.000000       0.000000         0       1.081537       8.348614     220.000000         5       1.100000       0.900000
       128         1      23.730000      12.700000       0.000000       0.520000         0       1.020525     -15.997395     220.000000         5       1.100000       0.900000
       145         1      38.340000       5.600000       0.000000       7.640000         0       1.039095      -8.867277     220.000000         5       1.100000       0.900000
       148         1      32.340000      12.000000       0.000000       6.100000         0       1.041568      -7.967040     220.000000         5       1.100000       0.900000
       150         2       0.000000       0.000000       0.000000       0.000000         0       1.062805       2.560561     220.000000         5       1.100000       0.900000
       163         1     147.760000      32.730000       0.000000       8.340000         0       1.047052     -10.593759     220.000000         5       1.100000       0.900000
       171         1     100.800000      13.200000       0.000000       5.240000         0       1.069639     -25.057375     220.000000         5       1.100000       0.900000
       174         1     370.500000     -17.000000       0.000000       9.910000         0       1.074802     -27.776604     220.000000         5       1.100000       0.900000
       184         1      -0.000000      -0.000000       0.000000       2.420000         0       1.042987     -12.012571     220.000000         5       1.100000       0.900000
       188         1      36.840000      13.900000       0.000000       3.300000         0       1.018760     -19.455634     220.000000         5       1.100000       0.900000
       195         1      73.140000      21.550000       0.000000       8.520000         0       1.056336      -8.562875     220.000000         5       1.100000       0.900000
       196         1       0.000000      -0.000000       0.000000      12.480000         0       1.074793     -26.187426     220.000000         5       1.100000       0.900000
       198         1      39.740000      11.800000       0.000000       1.440000         0       1.016773     -16.239915     220.000000         5       1.100000       0.900000
       207         1     321.980000      84.400000       0.000000       1.340000         0       1.026893     -13.581159     220.000000         5       1.100000       0.900000
       216         1     155.600000      54.700000       0.000000       2.210000         0       1.039362     -24.481256     220.000000         5       1.100000       0.900000
       217         1     105.200000       0.100000       0.000000       7.360000         0       1.042765      -2.543841     220.000000         5       1.100000       0.900000
       218         1      69.830000      15.120000       0.000000       2.230000         0       1.045926     -13.039974     220.000000         5       1.100000       0.900000
