# Imported from MATPOWER Case Format
mpc.version
2
mpc.version.end

# System MVA base
mpc.baseMVA
100
mpc.baseMVA.end

# Bus data: bus_i	type	Pd	Qd	Gs	Bs	area	Vm	Va	baseKV	zone	Vmax	Vmin
mpc.bus
         1         1       0.000000       0.000000       0.000000       0.000000         1       1.089412      -2.527731     220.000000         1       1.110000       0.950000
         2         1       0.000000       0.000000       0.000000       0.000000         1       1.092924      -0.762234     220.000000         1       1.110000       0.950000
         3         1       0.000000       0.000000       0.000000       0.000000         1       1.069784     -26.040382     220.000000         1       1.110000       0.950000
         4         1       0.000000       0.000000       0.000000       0.000000         1       1.069739     -26.049562     220.000000         1       1.110000       0.950000
         5         1       0.000000       0.000000       0.000000       0.000000         1       1.097723     -28.241861     220.000000         1       1.110000       0.950000
         6         1       0.000000       0.000000       0.000000       0.000000         1       1.058750      -7.501908     220.000000         1       1.110000       0.950000
         7         1       0.000000       0.000000       0.000000       0.000000         1       1.058736      -7.503847     220.000000         1       1.110000       0.950000
         8         1       0.000000       0.000000       0.000000       0.000000         1       1.066691     -15.943489     220.000000         1       1.110000       0.950000
         9         1       0.000000       0.000000       0.000000       0.000000         1       1.066945     -15.927930     220.000000         1       1.110000       0.950000
        10         1       0.000000       0.000000       0.000000       0.000000         1       1.076304     -20.218878     220.000000         1       1.110000       0.950000
        11         1       0.000000       0.000000       0.000000       0.000000         1       1.010503     -11.825020     400.000000         1       1.050000       0.950000
        12         1       0.000000       0.000000       0.000000       0.000000         1       1.010569     -11.816325     400.000000         1       1.050000       0.950000
        13         1       0.000000       0.000000       0.000000       0.000000         1       0.983589     -16.129526     400.000000         1       1.050000       0.950000
        14         1       0.000000       0.000000       0.000000       0.000000         1       1.014586     -16.538695     220.000000         1       1.110000       0.950000
        15         1       0.000000       0.000000       0.000000       0.000000         1       1.014407     -16.542436     220.000000         1       1.110000       0.950000
        16         1       0.000000       0.000000       0.000000       0.000000         1       0.983611     -21.094561     220.000000         1       1.110000       0.950000
        17         1       0.000000       0.000000       0.000000       0.000000         1       0.981304     -21.144465     220.000000         1       1.110000       0.950000
        18         1       0.000000       0.000000       0.000000       0.000000         1       1.012112     -10.447211     400.000000         1       1.050000       0.950000
        19         1       0.000000       0.000000       0.000000       0.000000         1       1.012176     -10.437840     400.000000         1       1.050000       0.950000
        20         1       0.000000       0.000000       0.000000       0.000000         1       0.989174     -19.908482     400.000000         1       1.050000       0.950000
        21         1       0.000000       0.000000       0.000000       0.000000         1       1.004319     -16.167009     400.000000         1       1.050000       0.950000
        22         2      10.000000      20.000000       0.000000       0.000000         1       1.068180     -20.135020     220.000000         1       1.110000       0.950000
        23         2      10.000000      20.000000       0.000000       0.000000         1       1.068180     -20.135728     220.000000         1       1.110000       0.950000
        24         1       0.000000       0.000000       0.000000       0.000000         1       1.065790      -6.672825     220.000000         1       1.110000       0.950000
        25         1       0.000000       0.000000       0.000000       0.000000         1       1.065879      -6.684285     220.000000         1       1.110000       0.950000
        26         1       0.000000       0.000000       0.000000       0.000000         1       1.015186     -19.908395     220.000000         1       1.110000       0.950000
        27         1       0.000000       0.000000       0.000000       0.000000         1       1.015162     -19.905834     220.000000         1       1.110000       0.950000
        28         1       0.000000       0.000000       0.000000       0.000000         1       1.017317     -15.719466     220.000000         1       1.110000       0.950000
        29         1       0.000000       0.000000       0.000000       0.000000         1       1.017225     -15.735805     220.000000         1       1.110000       0.950000
        30         1       0.000000       0.000000       0.000000       0.000000         1       1.072459      -4.203967     220.000000         1       1.110000       0.950000
        31         1       0.000000       0.000000       0.000000       0.000000         1       1.072341      -4.227023     220.000000         1       1.110000       0.950000
        32         1       0.000000       0.000000       0.000000       0.000000         1       1.005758     -14.995999     400.000000         1       1.050000       0.950000
        33         1       0.000000       0.000000       0.000000       0.000000         1       1.005730     -15.001490     400.000000         1       1.050000       0.950000
        34         1       0.000000       0.000000       0.000000       0.000000         1       0.999361     -18.424675     400.000000         1       1.050000       0.950000
        35         2      32.160000      52.070000       0.000000       0.000000         1       1.095450      -2.360128     220.000000         1       1.110000       0.950000
        36         2      46.360000      92.070000       0.000000       0.000000         1       1.095450      -0.576099     220.000000         1       1.110000       0.950000
        37         3      60.000000     120.000000       0.000000       0.000000         1       1.040000       0.000000     400.000000         1       1.050000       0.950000
        38         2      60.000000     120.000000       0.000000       0.000000         1       1.040000      -0.006385     400.000000         1       1.050000       0.950000
        39         1       0.000000       0.000000       0.000000       0.000000         1       1.010195     -18.136253     220.000000         1       1.110000       0.950000
        40         1       0.000000       0.000000       0.000000       0.000000         1       1.010105     -18.139549     220.000000         1       1.110000       0.950000
        41         1       0.000000       0.000000       0.000000       0.000000         1       1.033811      -1.897853     400.000000         1       1.050000       0.950000
        42         1       0.000000       0.000000       0.000000       0.000000         1       1.033795      -1.900303     400.000000         1       1.050000       0.950000
        43         1       0.000000       0.000000       0.000000       0.000000         1       1.009838     -16.878348     220.000000         1       1.110000       0.950000
        44         1       0.000000       0.000000       0.000000       0.000000         1       1.004416     -16.167489     400.000000         1       1.050000       0.950000
        45         1       0.000000       0.000000       0.000000       0.000000         1       1.048621      -9.476370     220.000000         1       1.110000       0.950000
        46         1       0.000000       0.000000       0.000000       0.000000         1       1.048703      -9.484756     220.000000         1       1.110000       0.950000
        47         1       0.000000       0.000000       0.000000       0.000000         1       1.066304      -7.429508     220.000000         2       1.110000       0.950000
        48         1       0.000000       0.000000       0.000000       0.000000         1       1.068810      -4.363184     220.000000         2       1.110000       0.950000
        49         1       0.000000       0.000000       0.000000       0.000000         1       1.080331      -2.549705     220.000000         2       1.110000       0.950000
        50         1       0.000000       0.000000       0.000000       0.000000         1       1.080313      -2.553059     220.000000         2       1.110000       0.950000
        51         1       0.000000       0.000000       0.000000       0.000000         1       1.042010      -8.388005     220.000000         2       1.110000       0.950000
        52         1       3.970000       1.000000       0.000000       0.000000         1       1.082973      -4.645236     220.000000         2       1.110000       0.950000
        53         1       0.000000       0.000000       0.000000       0.000000         1       1.083034      -4.634406     220.000000         2       1.110000       0.950000
        54         1       0.000000       0.000000       0.000000       0.000000         1       1.021819      -3.766117     400.000000         2       1.050000       0.950000
        55         2      13.000000      30.000000       0.000000       0.000000         1       1.090910      -6.971153     220.000000         2       1.110000       0.950000
        56         2      39.350000      90.070000       0.000000       0.000000         1       1.090910      -6.987862     220.000000         2       1.110000       0.950000
        57         2      26.000000      60.000000       0.000000       0.000000         1       1.090910      -6.961646     220.000000         2       1.110000       0.950000
        58         2      26.000000      50.000000       0.000000       0.000000         1       1.035000      -6.722467     400.000000         2       1.050000       0.950000
        59         2      26.000000      50.000000       0.000000       0.000000         1       1.035000      -6.716604     400.000000         2       1.050000       0.950000
        60         1       0.000000       0.000000       0.000000       0.000000         1       1.077221      -5.251613     220.000000         2       1.110000       0.950000
        61         1       0.000000       0.000000       0.000000       0.000000         1       1.046715      -3.612438     400.000000         2       1.050000       0.950000
        62         1       0.000000       0.000000       0.000000       0.000000         1       1.046705      -3.613780     400.000000         2       1.050000       0.950000
        63         1       0.000000       0.000000       0.000000       0.000000         1       1.030522      -7.799656     400.000000         2       1.050000       0.950000
        64         1       0.000000       0.000000       0.000000       0.000000         1       1.053500      -6.557729     220.000000         2       1.110000       0.950000
        65         1       0.000000       0.000000       0.000000       0.000000         1       1.053483      -6.550869     220.000000         2       1.110000       0.950000
        66         1       0.000000       0.000000       0.000000       0.000000         1       1.031112      -4.988140     400.000000         2       1.050000       0.950000
        67         1       0.000000       0.000000       0.000000       0.000000         1       1.031116      -4.980929     400.000000         2       1.050000       0.950000
        68         2      13.000000      30.000000       0.000000       0.000000         1       1.086360      -0.911010     220.000000         2       1.110000       0.950000
        69         2      26.000000      60.000000       0.000000       0.000000         1       1.086360      -0.895735     220.000000         2       1.110000       0.950000
        70         2       0.000000       2.250000       0.000000       0.000000         1       1.032452      -2.768247     400.000000         2       1.050000       0.950000
        71         2      26.000000      60.000000       0.000000       0.000000         1       1.032500      -2.768297     400.000000         2       1.050000       0.950000
        72         1       0.000000       0.000000       0.000000       0.000000         1       1.075068      -7.724281     220.000000         2       1.110000       0.950000
        73         1       0.000000       0.000000       0.000000       0.000000         1       1.075068      -7.722313     220.000000         2       1.110000       0.950000
        74         1       0.000000       0.000000       0.000000       0.000000         1       1.076832      -4.802704     220.000000         2       1.110000       0.950000
        75         1       0.000000       0.000000       0.000000       0.000000         1       1.076866      -4.807827     220.000000         2       1.110000       0.950000
        76         1       0.000000       0.000000       0.000000       0.000000         1       1.081430      -7.414840     220.000000         2       1.110000       0.950000
        77         1       0.000000       0.000000       0.000000       0.000000         1       1.081434      -7.419916     220.000000         2       1.110000       0.950000
        78         1       0.000000       0.000000       0.000000       0.000000         1       1.043528      -3.348489     400.000000         2       1.050000       0.950000
        79         1       0.000000       0.000000       0.000000       0.000000         1       1.043534      -3.351698     400.000000         2       1.050000       0.950000
        80         1       0.000000       0.000000       0.000000       0.000000         1       1.073322      -4.237122     220.000000         2       1.110000       0.950000
        81         1       0.000000       0.000000       0.000000       0.000000         1       1.074603      -4.225407     220.000000         2       1.110000       0.950000
        82         1       0.000000       0.000000       0.000000       0.000000         1       1.056585      -5.171849     220.000000         2       1.110000       0.950000
        83         1       0.000000       0.000000       0.000000       0.000000         1       1.074458      -2.648865     220.000000         3       1.110000       0.950000
        84         1       6.410000       2.010000       0.000000       0.000000         1       1.077197      -3.136017     220.000000         3       1.110000       0.950000
        85         1      13.890000       5.020000       0.000000       0.000000         1       1.077011      -3.150101     220.000000         3       1.110000       0.950000
        86         1       0.000000       0.000000       0.000000       0.000000         1       1.069712      -1.009337     220.000000         3       1.110000       0.950000
        87         1       0.000000       0.000000       0.000000       0.000000         1       1.069848      -0.998978     220.000000         3       1.110000       0.950000
        88         1       0.000000       0.000000       0.000000       0.000000         1       1.081483       0.671078     220.000000         3       1.110000       0.950000
        89         1       0.000000       0.000000       0.000000       0.000000         1       1.081504       0.667138     220.000000         3       1.110000       0.950000
        90         1       0.000000       0.000000       0.000000       0.000000         1       1.041515      -3.056613     220.000000         3       1.110000       0.950000
        91         1       0.000000       0.000000       0.000000       0.000000         1       1.041277      -3.056836     220.000000         3       1.110000       0.950000
        92         2      28.000000      70.000000       0.000000       0.000000         1       1.081820      -0.123152     220.000000         3       1.110000       0.950000
        93         2      28.000000      68.000000       0.000000       0.000000         1       1.081820      -0.239064     220.000000         3       1.110000       0.950000
        94         1       2.780000       1.910000       0.000000       0.000000         1       1.061627      -0.374265     220.000000         3       1.110000       0.950000
        95         1       0.000000       0.000000       0.000000       0.000000         1       1.061644      -0.377357     220.000000         3       1.110000       0.950000
        96         2      32.000000     142.000000       0.000000       0.000000         1       1.037500       1.410462     400.000000         3       1.050000       0.950000
        97         1       0.000000       0.000000       0.000000       0.000000         1       1.037467       1.383103     400.000000         3       1.050000       0.950000
        98         1       0.000000       0.000000       0.000000       0.000000         1       1.040649      -1.351814     220.000000         3       1.110000       0.950000
        99         1       0.000000       0.000000       0.000000       0.000000         1       1.077793       0.440786     220.000000         3       1.110000       0.950000
       100         1       0.000000       0.000000       0.000000       0.000000         1       1.077793       0.434292     220.000000         3       1.110000       0.950000
       101         1      38.800000      -2.700000       0.000000       0.000000         1       1.077537      -2.404448     220.000000         3       1.110000       0.950000
       102         1       0.000000       0.000000       0.000000       0.000000         1       1.077494      -2.405637     220.000000         3       1.110000       0.950000
       103         1       0.000000       0.000000       0.000000       0.000000         1       1.074764      -0.095168     220.000000         3       1.110000       0.950000
       104         1       0.000000       0.000000       0.000000       0.000000         1       1.074685      -0.097635     220.000000         3       1.110000       0.950000
       105         1       0.000000       0.000000       0.000000       0.000000         1       1.079794      -2.161226     220.000000         3       1.110000       0.950000
       106         1       0.000000       0.000000       0.000000       0.000000         1       1.079810      -2.162807     220.000000         3       1.110000       0.950000
       107         1       0.000000       0.000000       0.000000       0.000000         1       1.038625      -1.176481     400.000000         3       1.050000       0.950000
       108         1       0.000000       0.000000       0.000000       0.000000         1       1.038655      -1.169956     400.000000         3       1.050000       0.950000
       109         1       0.000000       0.000000       0.000000       0.000000         1       1.076514       0.323546     220.000000         3       1.110000       0.950000
       110         1       0.000000       0.000000       0.000000       0.000000         1       1.076492       0.326703     220.000000         3       1.110000       0.950000
       111         1       0.000000       0.000000       0.000000       0.000000         1       1.059017       0.304672     220.000000         3       1.110000       0.950000
       112         1       0.000000       0.000000       0.000000       0.000000         1       1.058937       0.296273     220.000000         3       1.110000       0.950000
       113         2      38.410000      12.710000       0.000000       0.000000         1       1.077270      -1.346945     220.000000         3       1.110000       0.950000
