# Imported from MATPOWER Case Format
mpc.version
2
mpc.version.end

# System MVA base
mpc.baseMVA
100
mpc.baseMVA.end

# Bus data: bus_i	type	Pd	Qd	Gs	Bs	area	Vm	Va	baseKV	zone	Vmax	Vmin
mpc.bus
         1         1       0.000000       0.000000       0.000000       0.000000         1       0.996430      -0.853210     220.000000         1       1.110000       0.950000
         2         1       0.000000       0.000000       0.000000       0.000000         1       0.994589      -0.362862     220.000000         1       1.110000       0.950000
         3         1       0.000000       0.000000       0.000000       0.000000         1       0.968454     -30.198581     220.000000         1       1.110000       0.950000
         4         1       0.000000       0.000000       0.000000       0.000000         1       0.967230      -9.024845     220.000000         1       1.110000       0.950000
         5         1       0.000000       0.000000       0.000000       0.000000         1       0.984676     -22.165717     220.000000         1       1.110000       0.950000
         6         1       0.000000       0.000000       0.000000       0.000000         1       0.972385     -15.537187     400.000000         1       1.050000       0.950000
         7         1       0.000000       0.000000       0.000000       0.000000         1       0.969176     -24.789914     220.000000         1       1.110000       0.950000
         8         1       0.000000       0.000000       0.000000       0.000000         1       0.979102     -11.614160     400.000000         1       1.050000       0.950000
         9         1       0.000000       0.000000       0.000000       0.000000         1       0.965193     -18.904138     400.000000         1       1.050000       0.950000
        10         2      12.230000       9.000000       0.000000       0.000000         1       1.000000     -23.316259     220.000000         1       1.110000       0.950000
        11         1       0.000000       0.000000       0.000000       0.000000         1       0.974506      -7.283278     220.000000         1       1.110000       0.950000
        12         1       0.000000       0.000000       0.000000       0.000000         1       0.964946     -27.322908     220.000000         1       1.110000       0.950000
        13         1       0.000000       0.000000       0.000000       0.000000         1       0.972689     -24.790388     220.000000         1       1.110000       0.950000
        14         1       0.000000       0.000000       0.000000       0.000000         1       0.969708      -5.053184     220.000000         1       1.110000       0.950000
        15         1       0.000000       0.000000       0.000000       0.000000         1       0.946317     -17.934598     400.000000         1       1.050000       0.950000
        16         2      54.880000     100.000000       0.000000       0.000000         1       1.000000      -0.244044     220.000000         1       1.110000       0.950000
        17         2      77.000000     150.000000       0.000000       0.000000         1       1.000000       0.668303     220.000000         1       1.110000       0.950000
        18         3     153.000000     350.000000       0.000000       0.000000         1       1.000000       0.000000     400.000000         1       1.050000       0.950000
