# Imported from MATPOWER Case Format
mpc.version
2
mpc.version.end

# System MVA base
mpc.baseMVA
100
mpc.baseMVA.end

# Bus data: bus_i	type	Pd	Qd	Gs	Bs	area	Vm	Va	baseKV	zone	Vmax	Vmin
mpc.bus
         3         1     151.000000      48.800000       0.000000       4.690000         0       1.015977     -21.680568     220.000000         5       1.100000       0.900000
         4         1     171.410000      23.400000       0.000000       2.100000         0       1.025999      -6.891378     220.000000         5       1.100000       0.900000
        10         1     134.000000      24.700000       0.000000      12.440000         0       1.037880     -23.758680     220.000000         5       1.100000       0.900000
        15         1      59.670000      26.700000       0.000000      12.840000         0       1.024279     -48.154348     220.000000         4       1.100000       0.900000
        21         1     161.200000      39.300000       0.000000      30.710000         0       1.035538     -21.405259     220.000000         5       1.100000       0.900000
        22         1       0.000000      -0.000000       0.000000       0.850000         0       1.032953     -18.098010     220.000000         5       1.100000       0.900000
        26         1     167.300000      54.800000       0.000000     110.540000         0       1.032855      -3.226634     380.000000         5       1.100000       0.900000
        29         1     152.900000      49.400000       0.000000      27.650000         0       0.997908     -13.572685     380.000000         5       1.100000       0.900000
        32         2       0.000000       0.000000       0.000000       0.000000         0       1.006206     -42.281912     220.000000         4       1.100000       0.900000
        33         2       0.000000       0.000000       0.000000       0.000000         0       1.031909     -37.954584     220.000000         4       1.100000       0.900000
        38         1      42.750000      12.800000       0.000000      13.300000         0       1.028477      27.520339     220.000000         8       1.100000       0.900000
        39         2       0.000000       0.000000       0.000000       0.000000         0       1.005551     -37.589269     150.000000        10       1.100000       0.900000
        42         1      20.820000       7.900000       0.000000      26.890000         0       1.047404     -48.390149     380.000000         4       1.100000       0.900000
        44         1      -0.000000       0.000000       0.000000       7.270000         0       1.045179     -21.654290     220.000000         5       1.100000       0.900000
        51         2       0.000000       0.000000       0.000000       0.000000         0       1.011980     -47.430891     220.000000         4       1.100000       0.900000
        52         1     127.600000      31.800000       0.000000      20.510000         0       1.013809       1.663479     150.000000         8       1.100000       0.900000
        53         1      48.650000      16.100000       0.000000       7.140000         0       1.060537      -9.077174     220.000000         5       1.100000       0.900000
        58         1       0.000000       0.000000       0.000000       2.310000         0       0.996663     -15.539313     380.000000         5       1.100000       0.900000
        59         1     119.200000      20.700000       0.000000       3.310000         0       1.031617     -23.581800     220.000000         5       1.100000       0.900000
        69         1      62.870000      20.500000       0.000000       1.150000         0       1.012386       0.446868     150.000000         8       1.100000       0.900000
        71         1     126.300000      42.400000       0.000000      55.240000         0       1.038016       4.775503     150.000000         8       1.100000       0.900000
        72         1       6.910000      -4.600000       0.000000       5.750000         0       1.009707     -40.460936     220.000000         4       1.100000       0.900000
        75         1      38.740000       6.100000       0.000000       1.170000         0       1.024425     -52.425169     220.000000         4       1.100000       0.900000
        76         1      22.130000      10.700000       0.000000      14.210000         0       1.028539      27.529957     220.000000         8       1.100000       0.900000
        77         1      -0.000000      -0.000000       0.000000       0.730000         0       1.014689     -49.697156     220.000000         4       1.100000       0.900000
        89         1       0.000000       0.000000       0.199111       4.530599         0       0.995991      -2.013553     380.000000         2       1.100000       0.900000
        90         1     363.250000     115.390000       0.000000       3.950000         0       1.042957     -27.230334     220.000000         5       1.100000       0.900000
        91         1      -0.000000       0.000000       0.000000       0.020000         0       1.011790       2.759407     150.000000         8       1.100000       0.900000
        96         1      -8.400000      28.660000       0.000000       3.490000         0       1.034810     -15.457008     220.000000         5       1.100000       0.900000
       113         1      -0.000000      -0.000000       0.000000       6.532711         0       1.030546     -13.839509     380.000000         5       1.100000       0.900000
       115         1       0.000000      -0.000000       0.000000       4.210000         0       1.065565     -19.206116     220.000000         5       1.100000       0.900000
       118         1     704.530000     -35.330000       0.000000      13.102834         0       1.021921     -11.278350     380.000000         5       1.100000       0.900000
       124         2       0.000000       0.000000       0.000000       0.000000         0       1.079291       8.454626     220.000000         5       1.100000       0.900000
       128         1      23.730000      12.700000       0.000000       0.520000         0       1.020175     -15.479779     220.000000         5       1.100000       0.900000
       130         1      -0.000000       0.000000       0.135375      47.750675         0       1.062976     -46.592814     380.000000        10       1.100000       0.900000
       132         1       0.000000      -0.000000       0.000000      21.390000         0       1.067846     -43.257256     380.000000         1       1.100000       0.900000
       133         1      38.140000      12.500000       0.000000       6.280000         0       1.019732       3.223747     150.000000         8       1.100000       0.900000
       138         1     -75.380000       7.800000       0.000000      29.900000         0       1.071159     -41.278954     380.000000        10       1.100000       0.900000
       139         1    -764.340000      66.910000       0.000000      33.470000         0       1.003780      18.988910     380.000000         8       1.100000       0.900000
       140         1       0.000000       0.000000       0.000000       4.140000         0       1.029180      18.987700     220.000000         8       1.100000       0.900000
       143         1       0.000000       0.000000       0.000000       0.000000         0       1.014189       6.000733     150.000000         8       1.100000       0.900000
       145         1      38.340000       5.600000       0.000000       7.640000         0       1.042169      -8.805498     220.000000         5       1.100000       0.900000
       148         1      32.340000      12.000000       0.000000       6.100000         0       1.041687      -7.896875     220.000000         5       1.100000       0.900000
       150         2       0.000000       0.000000       0.000000       0.000000         0       1.062067       2.645679     220.000000         5       1.100000       0.900000
       163         1     147.760000      32.730000       0.000000       8.340000         0       1.042600     -10.467685     220.000000         5       1.100000       0.900000
       164         1       0.000000      -0.000000       0.000000       5.170000         0       1.016008       0.691258     150.000000         8       1.100000       0.900000
       171         1     100.800000      13.200000       0.000000       5.240000         0       1.063771     -24.770070     220.000000         5       1.100000       0.900000
       172         1     111.700000      10.960000       0.000000       4.220000         0       1.017043     -46.508023     220.000000         4       1.100000       0.900000
       174         1     370.500000     -17.000000       0.000000       9.910000         0       1.073365     -27.446258     220.000000         5       1.100000       0.900000
       177         1      94.900000      36.200000       0.000000      16.460000         0       0.973374     -42.630883     220.000000        10       1.100000       0.900000
       179         2       0.000000       0.000000       0.000000       0.000000         0       1.048817     -49.189536     380.000000         4       1.100000       0.900000
       184         1      -0.000000      -0.000000       0.000000       2.420000         0       1.043851     -11.271317     220.000000         5       1.100000       0.900000
       188         1      36.840000      13.900000       0.000000       3.300000         0       1.018288     -19.152689     220.000000         5       1.100000       0.900000
       194         2       0.000000       0.000000       0.000000       0.000000         0       1.029584      14.378265     150.000000         8       1.100000       0.900000
       195         1      73.140000      21.550000       0.000000       8.520000         0       1.053190      -8.503115     220.000000         5       1.100000       0.900000
       196         1       0.000000      -0.000000       0.000000      12.480000         0       1.074237     -25.759808     220.000000         5       1.100000       0.900000
       198         1      39.740000      11.800000       0.000000       1.440000         0       1.015901     -15.754916     220.000000         5       1.100000       0.900000
       199         1      86.800000      28.400000       0.000000       1.340000         0       1.011838       1.926819     150.000000         8       1.100000       0.900000
       201         2       0.000000       0.000000       0.000000       0.000000         0       1.024675     -50.652956     220.000000         4       1.100000       0.900000
       205         1      46.150000      18.200000       0.000000       1.290000         0       1.009149       6.603984     150.000000         8       1.100000       0.900000
       207         1     321.980000      84.400000       0.000000       1.340000         0       1.027843     -12.815880     220.000000         5       1.100000       0.900000
       211         1      75.280000      19.200000       0.000000       1.900000         0       1.032524      14.768967     110.000000         8       1.100000       0.900000
       216         1     155.600000      54.700000       0.000000       2.210000         0       1.038563     -24.137406     220.000000         5       1.100000       0.900000
       217         1     105.200000       0.100000       0.000000       7.360000         0       1.034928      -2.406173     220.000000         5       1.100000       0.900000
       218         1      69.830000      15.120000       0.000000       2.230000         0       1.042500     -13.022201     220.000000         5       1.100000       0.900000
       221         2       0.000000       0.000000       0.000000       0.000000         0       0.996091     -16.164839     380.000000         5       1.100000       0.900000
       225         1       0.000000       0.000000       0.000000       1.150000         0       1.062528     -19.597623     220.000000         5       1.100000       0.900000
       228         1     -23.430000      57.400000       0.000000       0.000000         0       1.044477      -6.443503     150.000000         2       1.100000       0.900000
       230         1     152.070000      22.520000       0.000000       7.870000         0       1.007001     -46.264417     220.000000         4       1.100000       0.900000
       231         1      -0.130000      -1.000000       0.000000       0.000000         0       1.019768      24.314420     110.000000         8       1.100000       0.900000
       236         1      45.850000       7.000000       0.000000       1.050000         0       1.028855     -53.470474     220.000000         4       1.100000       0.900000
       243         1       0.000000      -0.010000       0.000000      13.490000         0       1.017153      18.362210     150.000000         8       1.100000       0.900000
       244         1      -0.000000      -0.000000       0.000000       0.680000         0       1.018935       6.493020     150.000000         8       1.100000       0.900000
       249         1      -0.000000      -0.000000       0.000000      26.300000         0       1.005395     -42.279960     220.000000         4       1.100000       0.900000
       257         1     113.900000      24.500000       0.000000       6.720000         0       1.034092     -45.551482     220.000000         4       1.100000       0.900000
       261         1      -0.000000       0.000000       0.000000       1.290000         0       1.056860     -45.070632     380.000000        10       1.100000       0.900000
       264         1      38.740000       9.000000       0.000000       0.570000         0       1.015051     -46.307771     220.000000         4       1.100000       0.900000
       266         1       0.000000      -0.000000       0.000000     140.960000         0       1.059751     -41.792763     380.000000         4       1.100000       0.900000
       267         1     103.800000       2.700000       0.000000       3.330000         0       1.016275     -50.887347     220.000000         4       1.100000       0.900000
       268         1      -0.130000      -1.000000       0.000000       0.000000         0       1.046655      27.680242     220.000000         8       1.100000       0.900000
       271         1      96.700000      26.800000       0.000000       0.000000         0       1.040011      -6.768719     150.000000         2       1.100000       0.900000
       275         1     102.100000      25.300000       0.000000       1.110000         0       1.013422       2.719422     150.000000         8       1.100000       0.900000
       280         1     119.600000      29.600000       0.000000       5.340000         0       1.033119     -10.867891     220.000000         5       1.100000       0.900000
       281         1      -0.000000      -0.000000       0.000000      18.070000         0       1.035062      14.597950     380.000000         8       1.100000       0.900000
       283         1      27.330000      11.900000       0.000000       1.170000         0       1.036637     -11.499155     220.000000         5       1.100000       0.900000
       284         1     191.200000      -3.400000       0.000000      19.210000         0       1.023940     -48.206474     220.000000         4       1.100000       0.900000
       292         1      13.820000       1.400000       0.000000       0.700000         0       1.047611     -14.566531     220.000000         5       1.100000       0.900000
       297         1      23.730000       9.400000       0.000000       1.450000         0       1.025947       6.017957     150.000000         8       1.100000       0.900000
       299         2       0.000000       0.000000       0.000000       0.000000         0       1.046197     -45.660199     380.000000         4       1.100000       0.900000
       304         1       2.200000       0.500000       0.000000       0.210000         0       0.994430     -53.687043     150.000000        10       1.100000       0.900000
       305         1     103.000000      12.000000       0.000000       0.630000         0       1.065859     -32.196490     220.000000         5       1.100000       0.900000
       306         1      -0.000000       0.000000       0.000000       4.760000         0       1.029632     -18.230232     220.000000         5       1.100000       0.900000
       311         1      42.050000      17.200000       0.000000       1.310000         0       1.003327       0.356131     150.000000         8       1.100000       0.900000
       312         1      -0.160000      -2.910000       0.000000       0.430000         0       1.055762      13.053606     110.000000         8       1.100000       0.900000
       314         1     163.100000      46.300000       0.000000      10.600000         0       1.001099     -15.711763     220.000000         5       1.100000       0.900000
       315         1      -0.000000      -0.000000       0.000000       2.130000         0       1.026858     -35.830397     220.000000        10       1.100000       0.900000
       317         1      -0.000000      -0.000000       0.045946      -1.822030         0       1.017740       4.700627     380.000000         2       1.100000       0.900000
       322         1     303.800000      85.400000       0.000000       3.630000         0       0.963930     -44.158996     220.000000        10       1.100000       0.900000
       326         1       0.000000       0.000000       0.000000       0.000000         0       1.046788      27.727126     220.000000         8       1.100000       0.900000
       333         1     524.500000      43.000000       0.000000       6.850000         0       1.013221     -41.799332     220.000000         5       1.100000       0.900000
       338         2       0.000000       0.000000       0.000000       0.000000         0       1.049578      -6.031133     220.000000         5       1.100000       0.900000
       344         1     372.800000     147.500000       0.000000      27.730000         0       1.022959      -0.121073     150.000000         8       1.100000       0.900000
       346         1     197.500000      48.300000       0.000000       0.710000         0       1.039406     -20.836639     220.000000         5       1.100000       0.900000
       349         1      -0.000000       0.000000       0.000000      15.150000         0       1.047373       9.842954     150.000000         8       1.100000       0.900000
       350         1     110.400000      26.200000       0.000000       5.620000         0       1.042935     -23.753626     220.000000         5       1.100000       0.900000
       351         1      -0.150000      -1.930000       0.000000       0.000000         0       1.028036      19.718239     220.000000         8       1.100000       0.900000
       352         2       0.000000       0.000000       0.000000       0.000000         0       1.054691       0.893065     380.000000         5       1.100000       0.900000
       360         1      35.540000      11.500000       0.000000       3.650000         0       1.048508      12.773620     110.000000         8       1.100000       0.900000
       367         1      65.170000     -51.500000       0.000000       4.850000         0       1.071076     -23.036456     220.000000         5       1.100000       0.900000
       369         1      -0.000000       0.000000       0.000000       3.780000         0       1.045198      14.765080     220.000000         8       1.100000       0.900000
       370         1      56.760000      23.200000       0.000000       0.490000         0       1.000623       0.164693     150.000000         8       1.100000       0.900000
       377         1      -0.180000      -1.000000       0.000000       0.000000         0       1.021634      11.721447     150.000000         8       1.100000       0.900000
       380         1     -95.710000      -2.800000       0.000000       7.250000         0       1.004314     -32.643160     220.000000        10       1.100000       0.900000
       385         1      -0.000000      -0.000000       0.000000     105.840000         0       1.045063     -49.078239     380.000000         4       1.100000       0.900000
       387         1      -0.190000      -4.380000       0.000000       0.000000         0       1.040477       7.989835     150.000000         8       1.100000       0.900000
       389         2       0.000000       0.000000       0.000000       0.000000         0       1.020856     -40.594753     150.000000        10       1.100000       0.900000
       392         1     134.100000      34.200000       0.000000       0.750000         0       1.006059       0.379243     150.000000         8       1.100000       0.900000
       395         1      -0.000000      -0.000000       0.000000       7.850000         0       1.034172      15.890397     380.000000         8       1.100000       0.900000
       401         1      56.500000      36.290000       0.000000       3.080000         0       1.028209     -13.991115     220.000000         5       1.100000       0.900000
       408         1     129.100000       7.400000       0.000000       0.040000         0       1.041485     -10.993487     220.000000         5       1.100000       0.900000
       410         1     170.890000      50.380000       0.000000       6.440000         0       1.035442     -26.376028     220.000000         5       1.100000       0.900000
       413         2       0.000000       0.000000       0.000000       0.000000         0       1.052152      -6.013923     220.000000         5       1.100000       0.900000
       415         1       4.710000       0.700000       0.000000      11.390000         0       1.029400     -51.465865     220.000000         4       1.100000       0.900000
       416         1      70.680000      13.500000       0.000000       6.960000         0       1.041787      -6.662236     220.000000         5       1.100000       0.900000
       420         1       0.000000       0.000000       0.000000       0.000000         0       1.049815      19.170730     380.000000         8       1.100000       0.900000
       425         1      -0.000000       0.000000       0.000000       2.720000         0       1.007753       8.676862     380.000000         1       1.100000       0.900000
       426         1     123.100000       6.500000       0.000000       3.250000         0       1.040585     -18.073692     220.000000         5       1.100000       0.900000
       427         1      -0.000000       0.000000       0.000000       1.240000         0       1.077855     -35.382865     380.000000         1       1.100000       0.900000
       429         1      26.930000     -22.400000       0.000000       4.950000         0       1.019454     -48.108121     220.000000         4       1.100000       0.900000
       432         1      -0.000000      -0.000000       0.000000      68.517663         0       1.046226       2.505607     380.000000         5       1.100000       0.900000
       440         2       0.000000       0.000000       0.000000       0.000000         0       1.029422     -35.994148     220.000000         4       1.100000       0.900000
       441         1      -0.000000       0.000000       0.199768      27.888516         0       1.037169     -51.666838     380.000000        10       1.100000       0.900000
       442         2       0.000000       0.000000       0.000000       0.000000         0       1.013689     -45.930940     220.000000         4       1.100000       0.900000
       444         1       0.000000      -0.000000       0.000000       2.450000         0       1.037430     -11.556543     220.000000         5       1.100000       0.900000
       445         1      36.740000      10.300000       0.000000       8.100000         0       1.022289     -44.272109     220.000000         4       1.100000       0.900000
       449         1       0.000000       0.000000       0.000000      29.420000         0       1.021190      -7.889549     380.000000         5       1.100000       0.900000
       453         2       0.000000       0.000000       0.000000       0.000000         0       1.021096      -7.695287     380.000000         5       1.100000       0.900000
       455         1     274.320000       5.660000       0.000000      13.240000         0       1.043907     -30.494892     220.000000         5       1.100000       0.900000
       472         1     336.200000     131.600000       0.000000      64.010000         0       1.049881       8.664267     150.000000         8       1.100000       0.900000
       473         1     -22.950000      -3.720000       0.000000      14.340000         0       1.027789     -45.567886     220.000000         4       1.100000       0.900000
       477         1       0.000000       0.000000       0.000000      70.370000         0       1.049502     -41.734374     380.000000         4       1.100000       0.900000
       481         1      -0.000000       0.000000       0.000000      17.440000         0       1.024244     -47.705680     220.000000         4       1.100000       0.900000
       483         1      57.260000      15.600000       0.000000       3.430000         0       1.022970     -49.351130     220.000000         4       1.100000       0.900000
       486         1       7.010000       2.000000       0.000000       0.440000         0       1.015406       4.805163     150.000000         8       1.100000       0.900000
       489         2       0.000000       0.000000       0.000000       0.000000         0       1.012805     -47.115436     220.000000         4       1.100000       0.900000
       490         1      20.520000       4.000000       0.000000       2.770000         0       1.036344     -22.470784     220.000000         5       1.100000       0.900000
       496         1      -0.000000      -0.000000       0.000000      10.040000         0       1.018475      11.849999     150.000000         8       1.100000       0.900000
       500         1     144.400000      35.500000       0.000000       7.660000         0       1.037975     -14.985389     220.000000         5       1.100000       0.900000
       502         1      -0.000000       0.000000       0.000000       1.960000         0       1.043970      -6.587314     220.000000         5       1.100000       0.900000
       506         1      -0.000000       0.000000       0.000000       0.400000         0       1.062898      -8.776678     380.000000         5       1.100000       0.900000
       509         1      77.290000       7.000000       0.000000      17.600000         0       1.016031     -59.921871     220.000000         4       1.100000       0.900000
       513         1      57.460000      17.100000       0.000000       1.610000         0       1.038887      -7.351021     220.000000         5       1.100000       0.900000
       516         2       0.000000       0.000000       0.000000       0.000000         0       1.074804     -32.983703     220.000000         5       1.100000       0.900000
       519         1     207.200000       9.400000       0.000000       8.770000         0       1.026705     -50.087671     220.000000         4       1.100000       0.900000
       520         1     118.500000      20.400000       0.000000       2.570000         0       1.048883     -26.838451     220.000000         5       1.100000       0.900000
       523         1     189.900000      74.700000       0.000000      26.200000         0       1.043284       8.010204     150.000000         8       1.100000       0.900000
       527         1     277.700000      45.400000       0.000000       0.700000         0       1.014388     -46.137562     220.000000         4       1.100000       0.900000
       536         1      87.800000      -1.400000       0.079073      36.047349         0       1.059638     -47.935671     380.000000        10       1.100000       0.900000
       539         1      57.960000      18.900000       0.000000      14.910000         0       1.013987       3.770481     150.000000         8       1.100000       0.900000
       544         1      79.690000      39.600000       0.000000      18.830000         0       1.039052     -51.402428     380.000000        10       1.100000       0.900000
       548         1      30.930000       8.900000       0.000000       0.450000         0       1.033276      17.340533     110.000000         8       1.100000       0.900000
       549         1       0.000000      -0.000000       0.000000       5.150000         0       1.071943     -10.536452     220.000000         5       1.100000       0.900000
       550         1       0.000000      -0.000000       0.000000      10.000000         0       1.040041     -45.177952     220.000000         4       1.100000       0.900000
       552         1     180.800000      90.800000       0.000000       2.420000         0       0.969251     -42.853705     150.000000        10       1.100000       0.900000
       554         1       0.000000      -0.000000       0.000000       1.970000         0       1.021931     -20.417241     220.000000         5       1.100000       0.900000
       556         1      16.520000       9.000000       0.000000       1.170000         0       1.036782     -22.218755     220.000000         5       1.100000       0.900000
       558         1      -0.180000      -3.570000       0.000000       0.000000         0       1.017161      18.362232     150.000000         8       1.100000       0.900000
       559         1      42.250000      16.600000       0.000000       0.000000         0       1.035261       6.854373     150.000000         8       1.100000       0.900000
       561         1       0.000000      -0.000000       0.000000       0.320000         0       1.051905     -11.091254     220.000000         5       1.100000       0.900000
       564         2       0.000000       0.000000       0.000000       0.000000         0       1.069692     -46.813938     220.000000         5       1.100000       0.900000
       575         1       0.000000      -0.000000       0.000000       0.670000         0       1.045117     -10.485400     220.000000         5       1.100000       0.900000
       577         1      -0.130000      -1.000000       0.000000       0.000000         0       1.045904      27.596744     220.000000         8       1.100000       0.900000
       579         1      17.320000       6.600000       0.000000      16.520000         0       1.021594     -51.468416     380.000000         4       1.100000       0.900000
       583         2       0.000000       0.000000       0.000000       0.000000         0       1.043394     -15.491800     220.000000         5       1.100000       0.900000
       585         1      21.120000       8.300000       0.000000       4.260000         0       1.032676       5.487196     150.000000         8       1.100000       0.900000
       593         1      -0.000000       0.000000       0.000000      29.200000         0       1.054585      11.774658     380.000000         8       1.100000       0.900000
       594         1      67.570000      17.000000       0.000000       5.750000         0       1.038307      -8.267557     220.000000         5       1.100000       0.900000
       595         1      47.550000       5.300000       0.000000       7.590000         0       1.028701     -50.084789     220.000000         4       1.100000       0.900000
       597         1      33.340000      15.700000       0.000000      64.150000         0       1.059120     -47.461338     380.000000         4       1.100000       0.900000
       601         1     140.600000      42.600000       0.000000       5.710000         0       1.041119     -14.218304     220.000000         5       1.100000       0.900000
       602         1     110.800000      -8.800000       0.000000       3.150000         0       1.023807     -46.720278     220.000000         4       1.100000       0.900000
       604         1      33.240000       4.400000       0.000000      24.540000         0       0.996749     -12.326552     380.000000         5       1.100000       0.900000
       608         1     150.900000      10.400000       0.000000       4.770000         0       1.067434     -32.282787     220.000000         5       1.100000       0.900000
       609         1      -0.000000      -0.000000       0.000000       5.670000         0       1.022596     -14.728234     220.000000         5       1.100000       0.900000
       610         1      -0.000000       0.000000       0.000000       0.910000         0       0.990246     -55.382189     150.000000        10       1.100000       0.900000
       615         2       0.000000       0.000000       0.000000       0.000000         0       1.066110     -10.387361     220.000000         5       1.100000       0.900000
       616         2       0.000000       0.000000       0.000000       0.000000         0       1.049295     -12.798265     220.000000         5       1.100000       0.900000
       618         2       0.000000       0.000000       0.000000       0.000000         0       1.028233     -48.429390     380.000000         4       1.100000       0.900000
       619         1      72.880000      14.400000       0.000000       2.960000         0       1.045261     -24.860418     220.000000         5       1.100000       0.900000
       621         1      21.420000       8.100000       0.000000       7.380000         0       1.019527     -51.391951     220.000000         4       1.100000       0.900000
       628         2       0.000000       0.000000       0.000000       0.000000         0       0.984940     -34.476819     220.000000        10       1.100000       0.900000
       639         2       0.000000       0.000000       0.000000       0.000000         0       1.046182     -30.409766     220.000000         5       1.100000       0.900000
       641         1      45.320000      18.500000       0.000000       0.740000         0       1.038299     -13.737506     220.000000         5       1.100000       0.900000
       642         2       0.000000       0.000000       0.000000       0.000000         0       1.036757     -49.884962     380.000000         4       1.100000       0.900000
       643         1      15.520000       6.300000       0.000000       0.600000         0       1.007210       0.626155     150.000000         8       1.100000       0.900000
       649         1      40.940000      19.200000       0.000000       5.200000         0       1.025052     -48.016720     220.000000         4       1.100000       0.900000
       650         1      17.220000       4.400000       0.000000       1.710000         0       1.020627      13.605510     110.000000         8       1.100000       0.900000
       656         1      -0.150000      -1.930000       0.000000       0.000000         0       1.028008      19.719934     220.000000         8       1.100000       0.900000
