# Imported from MATPOWER Case Format
mpc.version
2
mpc.version.end

# System MVA base
mpc.baseMVA
100
mpc.baseMVA.end

# Bus data: bus_i	type	Pd	Qd	Gs	Bs	area	Vm	Va	baseKV	zone	Vmax	Vmin
mpc.bus
         1         1      90.000000      49.000000       0.000000       0.000000         1       1.028420       5.967366     115.000000         1       1.060000       0.940000
         2         1      56.000000      15.000000       0.000000       0.000000         1       1.035340       7.754974     115.000000         1       1.060000       0.940000
         3         1      20.000000       0.000000       0.000000       0.000000         1       0.997099       6.657081     230.000000         1       1.060000       0.940000
         4         1       0.000000       0.000000       0.000000       0.000000         1       1.030812       4.728270     345.000000         1       1.060000       0.940000
         5         1     353.000000     130.000000       0.000000       0.000000         1       1.019109       4.701402     115.000000         1       1.060000       0.940000
         6         1     120.000000      41.000000       0.000000       0.000000         1       1.031196       7.006062     115.000000         1       1.060000       0.940000
         7         1       0.000000       0.000000       0.000000       0.000000         1       0.993408       6.205646     230.000000         1       1.060000       0.940000
         8         2      63.000000      14.000000       0.000000       0.000000         1       1.015300       2.415275     115.000000         1       1.060000       0.940000
         9         1      96.000000      43.000000       0.000000       0.000000         1       1.003386       2.870858     115.000000         1       1.060000       0.940000
        10         2     153.000000      33.000000       0.000000       0.000000         1       1.020500       1.363181     230.000000         1       1.060000       0.940000
        11         1      83.000000      21.000000       0.000000       0.000000         1       1.005657       2.481244     115.000000         1       1.060000       0.940000
        12         1       0.000000       0.000000       0.000000       0.000000         1       0.997373       5.230267     230.000000         1       1.060000       0.940000
        13         1      58.000000      10.000000       0.000000       0.000000         1       0.997674      -0.537104     115.000000         1       1.060000       0.940000
        14         1     160.000000      60.000000       0.000000       0.000000         1       0.999170      -4.795838     115.000000         1       1.060000       0.940000
        15         1     126.700000      23.000000       0.000000       0.000000         1       1.034391      -8.566993     115.000000         1       1.060000       0.940000
        16         1       0.000000       0.000000       0.000000       0.000000         1       1.031587      -2.622319     345.000000         1       1.060000       0.940000
        17         1     561.000000     220.000000       0.000000       0.000000         1       1.064906     -13.084750     115.000000         1       1.060000       0.940000
        19         1       0.000000       0.000000       0.000000       0.000000         1       0.981924       1.088704     230.000000         1       1.060000       0.940000
        20         2     605.000000     120.000000       0.000000       0.000000         1       1.001000      -2.446935     115.000000         1       1.060000       0.940000
        21         1      77.000000       1.000000       0.000000       0.000000         1       0.975168       1.633975     230.000000         1       1.060000       0.940000
        22         1      81.000000      23.000000       0.000000       0.000000         1       0.996270      -1.959943     115.000000         1       1.060000       0.940000
        23         1      21.000000       7.000000       0.000000       0.000000         1       1.050098       3.951453     115.000000         1       1.060000       0.940000
        24         1       0.000000       0.000000       0.000000       0.000000         1       1.005656       6.033026     230.000000         1       1.060000       0.940000
        25         1      45.000000      12.000000       0.000000       0.000000         1       1.023354       1.452764     115.000000         1       1.060000       0.940000
        26         1      28.000000       9.000000       0.000000       0.000000         1       0.998577      -1.721040     115.000000         1       1.060000       0.940000
        27         1      69.000000      13.000000       0.000000       0.000000         1       0.975035      -4.882566     115.000000         1       1.060000       0.940000
        33         1      55.000000       6.000000       0.000000       0.000000         1       1.024565     -12.001874     115.000000         1       1.060000       0.940000
        34         1       0.000000       0.000000       0.000000       0.000000         1       1.041441      -7.900901     345.000000         1       1.060000       0.940000
        35         1       0.000000       0.000000       0.000000       0.000000         1       0.975688     -25.681733     115.000000         1       1.060000       0.940000
        36         1       0.000000       0.000000       0.000000       0.000000         1       1.001170     -22.518812     230.000000         1       1.060000       0.940000
        37         1      85.000000      32.000000       0.000000       0.000000         1       1.020158     -11.214460     115.000000         1       1.060000       0.940000
        38         1     155.000000      18.000000       0.000000       0.000000         1       1.020312     -12.538577     115.000000         1       1.060000       0.940000
        39         1       0.000000       0.000000       0.000000       0.000000         1       1.053611      -5.773048     345.000000         1       1.060000       0.940000
        40         1      46.000000     -21.000000       0.000000       0.000000         1       1.021655     -12.760874     115.000000         1       1.060000       0.940000
        41         1      86.000000       0.000000       0.000000       0.000000         1       1.029283     -10.425402     115.000000         1       1.060000       0.940000
        42         1       0.000000       0.000000       0.000000       0.000000         1       1.044944      -7.406500     345.000000         1       1.060000       0.940000
        43         1      39.000000       9.000000       0.000000       0.000000         1       1.000732     -16.763360     115.000000         1       1.060000       0.940000
        44         1     195.000000      29.000000       0.000000       0.000000         1       1.008735     -17.431011     115.000000         1       1.060000       0.940000
        45         1       0.000000       0.000000       0.000000       0.000000         1       1.021646     -14.690343     230.000000         1       1.060000       0.940000
        46         1       0.000000       0.000000       0.000000       0.000000         1       1.034515     -11.697007     345.000000         1       1.060000       0.940000
        47         1      58.000000      11.800000       0.000000       0.000000         1       0.977877     -23.163003     115.000000         1       1.060000       0.940000
        48         1      41.000000      19.000000       0.000000       0.000000         1       1.001958     -16.120719     115.000000         1       1.060000       0.940000
        49         1      92.000000      26.000000       0.000000       0.000000         1       1.047499      -2.944536     115.000000         1       1.060000       0.940000
        51         1      -5.000000       5.000000       0.000000       0.000000         1       1.025388      -8.134651     115.000000         1       1.060000       0.940000
        52         1      61.000000      28.000000       0.000000       0.000000         1       0.998003     -11.839500     115.000000         1       1.060000       0.940000
        53         1      69.000000       3.000000       0.000000       0.000000         1       0.996035     -17.578761     115.000000         1       1.060000       0.940000
        54         1      10.000000       1.000000       0.000000       0.000000         1       1.005135     -16.222345     115.000000         1       1.060000       0.940000
        55         1      22.000000      10.000000       0.000000       0.000000         1       1.015146     -12.187459     115.000000         1       1.060000       0.940000
        57         1      98.000000      20.000000       0.000000       0.000000         1       1.033490      -7.965905     115.000000         1       1.060000       0.940000
        58         1      14.000000       1.000000       0.000000       0.000000         1       0.991822      -5.958885     115.000000         1       1.060000       0.940000
        59         1     218.000000     106.000000       0.000000       0.000000         1       0.978860      -5.252448     115.000000         1       1.060000       0.940000
        60         1       0.000000       0.000000       0.000000       0.000000         1       1.024716      -9.514800     230.000000         1       1.060000       0.940000
        61         1     227.000000     110.000000       0.000000       0.000000         1       0.990654      -3.433183     115.000000         1       1.060000       0.940000
        62         1       0.000000       0.000000       0.000000       0.000000         1       1.016040      -1.061556     230.000000         1       1.060000       0.940000
        63         2      70.000000      30.000000       0.000000       0.000000         1       0.958300     -17.588618     115.000000         1       1.060000       0.940000
        64         1       0.000000       0.000000       0.000000       0.000000         1       0.947956     -12.935512     230.000000         1       1.060000       0.940000
        69         1       0.000000       0.000000       0.000000       0.000000         1       0.962698     -26.471665     115.000000         1       1.060000       0.940000
        70         1      56.000000      20.000000       0.000000       0.000000         1       0.951318     -35.123758     115.000000         1       1.060000       0.940000
        71         1     116.000000      38.000000       0.000000       0.000000         1       0.979391     -29.844566     115.000000         1       1.060000       0.940000
        72         1      57.000000      19.000000       0.000000       0.000000         1       0.969614     -27.441242     115.000000         1       1.060000       0.940000
        73         1     224.000000      71.000000       0.000000       0.000000         1       0.977610     -25.737286     115.000000         1       1.060000       0.940000
        74         1       0.000000       0.000000       0.000000       0.000000         1       0.996488     -21.943015     230.000000         1       1.060000       0.940000
        76         2     208.000000     107.000000       0.000000       0.000000         1       0.963200     -26.502973     115.000000         1       1.060000       0.940000
        77         1      74.000000      28.000000       0.000000       0.000000         1       0.983787     -24.911008     115.000000         1       1.060000       0.940000
        78         1       0.000000       0.000000       0.000000       0.000000         1       0.990023     -24.034603     115.000000         1       1.060000       0.940000
        79         1      48.000000      14.000000       0.000000       0.000000         1       0.982012     -25.011278     115.000000         1       1.060000       0.940000
        80         1      28.000000       7.000000       0.000000       0.000000         1       0.987242     -24.817184     115.000000         1       1.060000       0.940000
        81         1       0.000000       0.000000       0.000000       0.000000         1       1.034127     -18.756694     345.000000         1       1.060000       0.940000
        84         2      37.000000      13.000000       0.000000       0.000000         1       1.025000     -17.147782     115.000000         1       1.060000       0.940000
        85         1       0.000000       0.000000       0.000000       0.000000         1       0.987112     -17.765062     230.000000         1       1.060000       0.940000
        86         1       0.000000       0.000000       0.000000       0.000000         1       0.990818     -14.247940     230.000000         1       1.060000       0.940000
        87         1       0.000000       0.000000       0.000000       0.000000         1       0.991954      -7.792729     230.000000         1       1.060000       0.940000
        88         1       0.000000       0.000000       0.000000       0.000000         1       1.015248     -20.866805     230.000000         1       1.060000       0.940000
        89         1      44.200000       0.000000       0.000000       0.000000         1       1.031724     -11.142914     115.000000         1       1.060000       0.940000
        90         1      66.000000       0.000000       0.000000       0.000000         1       1.027231     -11.234891     115.000000         1       1.060000       0.940000
        91         2      17.400000       0.000000       0.000000       0.000000         1       1.052000      -9.436986     115.000000         1       1.060000       0.940000
        92         2      15.800000       0.000000       0.000000       0.000000         1       1.052000      -6.243897     115.000000         1       1.060000       0.940000
        94         1      60.300000       0.000000       0.000000       0.000000         1       0.992945      -9.449316     115.000000         1       1.060000       0.940000
        97         1      39.900000       0.000000       0.000000       0.000000         1       1.018224     -13.287084     115.000000         1       1.060000       0.940000
        98         2      66.700000       0.000000       0.000000       0.000000         1       1.000000     -14.664862     115.000000         1       1.060000       0.940000
        99         1      83.500000       0.000000       0.000000       0.000000         1       0.989358     -20.375257     115.000000         1       1.060000       0.940000
       100         1       0.000000       0.000000       0.000000       0.000000         1       1.005986     -14.503328     115.000000         1       1.060000       0.940000
       102         1      77.800000       0.000000       0.000000       0.000000         1       1.000708     -15.292575     115.000000         1       1.060000       0.940000
       103         1      32.000000       0.000000       0.000000       0.000000         1       1.028759     -12.118075     115.000000         1       1.060000       0.940000
       104         1       8.600000       0.000000       0.000000       0.000000         1       0.995737     -17.401629     115.000000         1       1.060000       0.940000
       105         1      49.600000       0.000000       0.000000       0.000000         1       1.022267     -13.001711     115.000000         1       1.060000       0.940000
       107         1       4.600000       0.000000       0.000000       0.000000         1       1.009461     -16.081783     115.000000         1       1.060000       0.940000
       108         2     112.100000       0.000000       0.000000       0.000000         1       0.990000     -20.363463     115.000000         1       1.060000       0.940000
       109         1      30.700000       0.000000       0.000000       0.000000         1       0.975245     -26.291620     115.000000         1       1.060000       0.940000
       110         1      63.000000       0.000000       0.000000       0.000000         1       0.973213     -24.931581     115.000000         1       1.060000       0.940000
       112         1      19.600000       0.000000       0.000000       0.000000         1       0.974473     -29.273912     115.000000         1       1.060000       0.940000
       113         1      26.200000       0.000000       0.000000       0.000000         1       0.970155     -25.447111     115.000000         1       1.060000       0.940000
       114         1      18.200000       0.000000       0.000000       0.000000         1       0.976812     -29.209198     115.000000         1       1.060000       0.940000
       115         1       0.000000       0.000000       0.000000       0.000000         1       0.960282     -13.548487     115.000000         2       1.060000       0.940000
       116         1       0.000000       0.000000       0.000000       0.000000         1       1.024861     -12.666916     115.000000         2       1.060000       0.940000
